sy_snum,sy_pnum,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,planet_type
1.0,1.0,9.20205,0.0,0.09,13.34,228.83,296.0,1074.0,2.5,6190.0,1.17,1.16,0.07,5.0,4.41,Gas Giant
1.0,1.0,4.0378962,0.09,0.04947,15.558,148.42,744.05,1438.0,3.0,6100.0,1.19,1.0,-0.25,2.0,4.19,Gas Giant
1.0,1.0,8.886593,0.1,0.0855,13.068,940.74,685.5,1017.0,3.0,6090.0,1.02,1.05,-0.2,1.0,4.43,Gas Giant
1.0,3.0,0.85359163,0.0,3.61,1.681,4.07661,107.0,951.5,1.5,5275.0,0.83,0.82,0.05,1.0,4.5,Super Earth
1.0,3.0,3.698,0.0,0.046,3.965,8.4,80.5,865.5,3.5,5256.0,0.86,0.9,0.06,2.0,4.52,Neptune-like
1.0,3.0,8.966,0.1255,3.0300000000000002,4.18,17.142,80.5,783.5,2.0,5250.0,1.24,0.92,0.06,5.0,4.22,Neptune-like
1.0,1.0,6.21229,0.0,0.063,6.39,69.92,27.425,817.5,1.0,5080.0,0.77,0.88,0.3,2.0,4.58,Gas Giant
2.0,1.0,95.272656,0.133,0.4021,11.949,266.9772,22.150000000000002,420.0,2.0,5625.0,0.96,0.96,-0.01,1.0,4.54,Gas Giant
1.0,1.0,6.71837,0.3,0.071,6.389,47.6745,132.26,938.0,2.0,5970.0,0.79,1.08,0.0,1.0,4.67,Gas Giant
2.0,1.0,4098.1,0.0,5.75,10.805,3823.2733,0.125,941.5,2.5,4049.5,0.57,0.51,-0.03,5.0,4.635,Gas Giant
1.0,1.0,246.36,0.345,0.36,15.830000000000002,9057.77,6.605,1550.0,0.0,2660.0,1.87,0.07,-0.19,5.0,4.475,Gas Giant
1.0,1.0,7.582835005,0.275,330.0,10.805,3496.0,1.695,461.5,0.0,3435.0,0.27,0.33,-0.22,5.0,4.98,Gas Giant
1.0,4.0,18.57,0.083,0.1462,4.18,24.27,137.0,877.0,3.0,6196.0,1.26,1.21,0.07,5.0,4.41,Neptune-like
1.0,4.0,6.584,0.057,0.0733,3.965,9.6,137.0,1239.0,3.0,6196.0,1.26,1.21,0.10400000000000001,5.0,4.41,Neptune-like
1.0,4.0,2.882,0.07,0.0422,1.685,3.35,572.35,1632.0,3.0,6196.0,1.26,1.21,0.10400000000000001,5.0,4.41,Super Earth
1.0,4.0,5.516,0.07,0.0651,1.685,4.13,333.5,1314.0,3.0,6196.0,1.26,1.21,0.10400000000000001,5.0,4.41,Super Earth
1.0,1.0,5.2072,0.078,0.0664,10.805,138.89171,970.85,1000.0,3.0,6500.0,1.78,1.44,0.1,5.0,4.1,Gas Giant
2.0,1.0,6.6732,0.14,0.0662,2.24,2.58,87.0,854.0,1.0,5138.0,0.91,0.87,0.18,1.0,4.3,Super Earth
2.0,1.0,10220.0,0.39,8.19,15.830000000000002,1922.79,0.125,257.5,0.5,4347.675,0.67,0.69,0.325,5.0,4.4350000000000005,Gas Giant
2.0,1.0,8.138268,0.0,831.0415,5.7,11.649999999999999,145.5,850.0,2.0,5428.0,0.96,1.01,0.0,5.0,4.49,Neptune-like
1.0,1.0,6.7987,0.0,0.0349,1.047,3.6500000000000004,14.5,603.5,0.0,3648.0,0.28,0.29,-0.048,1.0,5.0,Super Earth
1.0,1.0,28.1656,0.298,4.89,1.87,3.6500000000000004,1.9,303.5,0.0,3436.0,0.38,0.41,-0.15000000000000002,5.0,4.89,Super Earth
1.0,1.0,0.72091,0.119651,0.0139,1.5,3.6500000000000004,1031.0,1529.0,1.5,5633.0,0.94,0.7849999999999999,-0.053,1.0,4.4,Super Earth
1.0,1.0,2.13174,0.06,1.766,0.692,0.83,76.15,2050.0,1.0,5544.0,0.85,0.78,-0.2665,5.0,4.53,Terrestrial
1.0,1.0,0.877214,0.055,0.01464,1.3,4.04,109.55,1434.5,1.5,5820.0,0.93,0.8,-0.01,1.0,4.6,Super Earth
1.0,2.0,3.80464,0.065,4.4,1.22,3.6500000000000004,109.55,983.5,2.0,5791.5,0.975,1.07,-0.09599999999999999,5.0,4.455,Super Earth
1.0,3.0,2.71578,0.235,1.02,1.03,3.6500000000000004,92.15,811.5,0.5,5045.5,0.79,0.67,0.005,5.0,4.535,Super Earth
1.0,1.0,2.0478,0.0,0.0296,0.908,0.83,145.65,908.5,1.5,4520.0,0.66,0.73,-0.003,1.0,4.66,Terrestrial
1.0,2.0,3.96151,0.105,3.36,1.0,0.83,50.339999999999996,761.0,0.5,4226.5,0.5900000000000001,0.61,-0.13,5.0,4.6850000000000005,Terrestrial
1.0,1.0,4.1698,0.235,0.035,1.04,3.6500000000000004,92.15,1077.0,1.5,5053.0,0.63,0.8,0.0,1.0,4.59,Super Earth
1.0,2.0,8.050722,0.18,106.515,1.31,3.6500000000000004,355.5,961.0,1.5,5502.7,0.83,0.88,-0.1,5.0,4.61,Super Earth
1.0,3.0,4.50756,0.03,3.0300000000000002,1.7,3.6500000000000004,601.5,1327.0,2.0,5438.0,0.86,0.93,0.0,5.0,4.585,Super Earth
1.0,3.0,0.911724,0.14500000000000002,0.018924999999999997,1.4,4.04,580.745,1318.5,2.0,5724.0,1.1,0.855,-0.22,1.0,4.5,Super Earth
1.0,3.0,14.647531,0.175,0.1152,2.6,11.649999999999999,158.45,818.0,2.0,5724.0,1.1,0.87,-0.22,1.0,4.5,Neptune-like
1.0,1.0,2.87814,0.0805,1.2425,1.01,3.6500000000000004,109.55,1592.0,0.0,5783.5,0.985,0.22,-0.020000000000000004,5.0,4.48,Super Earth
1.0,2.0,5.2986,0.17109649999999998,0.05345,1.7,3.6500000000000004,495.64,1035.0,2.0,4114.0,0.5,1.045,0.006,1.0,4.8,Super Earth
1.0,2.0,0.354884,0.1350965,0.00865,1.2,3.6500000000000004,495.64,1035.0,2.0,4114.0,0.5,0.915,0.006,1.0,4.8,Super Earth
1.0,1.0,2.255436,0.14500000000000002,0.03413,1.0,0.83,12.185,344.5,2.0,3297.0,0.25,1.045,-0.33,1.0,4.9,Terrestrial
1.0,2.0,1.58252,0.1396,9.055,0.96,0.83,115.5,955.5,1.0,5031.755,1.04,0.71,-0.005,5.0,4.335,Terrestrial
1.0,2.0,17.515472,0.124,3.61,2.094,3.6500000000000004,27.05,571.5,2.0,4752.0,0.76,0.83,0.019,1.0,4.6,Super Earth
1.0,1.0,21.1701963,0.1,0.1195,1.92,3.6500000000000004,11.595,431.0,0.0,4057.0,0.58,0.62,0.2,1.0,4.7,Super Earth
1.0,1.0,19.49221,0.529,0.1493,5.76,11.649999999999999,98.55,817.0,2.0,6069.0,1.39,1.17,0.1,1.0,4.22,Neptune-like
1.0,2.0,2.289363,0.09,1.5358,1.48,3.6500000000000004,41.65,1149.0,2.0,5171.0,0.8,0.83,-0.03,1.0,4.55,Super Earth
1.0,2.0,5.213965,0.0576775,0.0535,2.27,11.649999999999999,87.0,866.0,2.0,5171.0,0.8,0.83,-0.03,1.0,4.55,Neptune-like
1.0,1.0,18.0983,0.055,59.755,2.17,14.0,35.150000000000006,658.0,1.5,5404.0,2.625,1.11,-0.034999999999999996,5.0,3.835,Neptune-like
1.0,1.0,34.885,0.075,3.0300000000000002,1.6,3.6500000000000004,38.8,630.0,1.0,5413.0,1.025,0.91,-0.36,5.0,4.44,Super Earth
1.0,2.0,15.28078,0.0,831.062,1.26,3.6500000000000004,219.0,756.0,2.0,6004.0,0.98,0.99,-0.18,1.0,4.45,Super Earth
1.0,2.0,23.228555,0.1,78.5835,2.32,11.649999999999999,164.5,658.0,2.0,6004.0,0.98,0.99,-0.18,1.0,4.45,Neptune-like
1.0,2.0,0.578657,0.10149999999999999,0.009855,1.2,3.6500000000000004,396.795,1480.0,1.5,5765.0,0.93,0.8200000000000001,-0.39,1.0,4.4,Super Earth
